date,close,high,low,open_price,volume
,ADMR.JK,ADMR.JK,ADMR.JK,ADMR.JK,ADMR.JK
2024-01-02,1410.0,1415.0,1355.0,1355.0,16832300
2024-01-03,1390.0,1415.0,1375.0,1415.0,19641000
2024-01-04,1405.0,1420.0,1385.0,1390.0,11072700
2024-01-05,1370.0,1420.0,1360.0,1410.0,18888500
2024-01-08,1330.0,1370.0,1305.0,1370.0,28606200
2024-01-09,1285.0,1350.0,1260.0,1345.0,34696100
2024-01-10,1350.0,1355.0,1280.0,1290.0,31769900
2024-01-11,1365.0,1380.0,1330.0,1350.0,25320100
2024-01-12,1355.0,1380.0,1340.0,1370.0,14620000
2024-01-15,1355.0,1355.0,1355.0,1355.0,0
2024-01-16,1315.0,1340.0,1305.0,1340.0,11688000
2024-01-17,1285.0,1315.0,1270.0,1315.0,30140200
2024-01-18,1285.0,1315.0,1275.0,1275.0,14175300
2024-01-19,1295.0,1315.0,1280.0,1285.0,12234700
2024-01-22,1295.0,1305.0,1285.0,1295.0,6919500
2024-01-23,1355.0,1400.0,1280.0,1295.0,26589900
2024-01-24,1365.0,1380.0,1335.0,1360.0,30370800
2024-01-25,1375.0,1410.0,1370.0,1370.0,32924400
2024-01-26,1305.0,1375.0,1300.0,1375.0,33459900
2024-01-29,1380.0,1390.0,1310.0,1310.0,25974000
2024-01-30,1485.0,1485.0,1350.0,1380.0,67587100
2024-01-31,1475.0,1500.0,1460.0,1495.0,22227400
2024-02-01,1430.0,1475.0,1430.0,1470.0,13504000
2024-02-02,1410.0,1455.0,1385.0,1430.0,27833500
2024-02-05,1490.0,1490.0,1415.0,1420.0,29681500
2024-02-06,1455.0,1520.0,1435.0,1495.0,31230200
2024-02-07,1460.0,1465.0,1425.0,1455.0,11862000
2024-02-12,1480.0,1500.0,1440.0,1465.0,23205000
2024-02-13,1480.0,1495.0,1450.0,1480.0,17103300
2024-02-15,1530.0,1595.0,1495.0,1505.0,91698800
2024-02-16,1420.0,1545.0,1395.0,1530.0,92386900
2024-02-19,1410.0,1430.0,1380.0,1420.0,36991600
2024-02-20,1445.0,1465.0,1400.0,1420.0,48402300
2024-02-21,1455.0,1485.0,1435.0,1450.0,34217500
2024-02-22,1455.0,1475.0,1440.0,1455.0,14721700
2024-02-23,1470.0,1485.0,1440.0,1460.0,22860800
2024-02-26,1515.0,1515.0,1460.0,1470.0,28285000
2024-02-27,1525.0,1535.0,1490.0,1515.0,26991500
2024-02-28,1555.0,1575.0,1505.0,1525.0,43323400
2024-02-29,1550.0,1555.0,1535.0,1555.0,15482700
2024-03-01,1490.0,1600.0,1480.0,1600.0,43102000
2024-03-04,1480.0,1525.0,1480.0,1490.0,14832600
2024-03-05,1435.0,1485.0,1420.0,1480.0,33800500
2024-03-06,1500.0,1500.0,1445.0,1445.0,21261100
2024-03-07,1470.0,1520.0,1460.0,1505.0,21925800
2024-03-08,1455.0,1490.0,1450.0,1470.0,14959800
