date,close,high,low,open_price,volume
,ARTO.JK,ARTO.JK,ARTO.JK,ARTO.JK,ARTO.JK
2024-01-02,2930.0,2980.0,2870.0,2920.0,6281400
2024-01-03,3160.0,3190.0,2900.0,2940.0,37418400
2024-01-04,3130.0,3170.0,3080.0,3150.0,13957800
2024-01-05,3090.0,3240.0,3090.0,3130.0,16502900
2024-01-08,3030.0,3120.0,3030.0,3100.0,8818000
2024-01-09,3170.0,3200.0,3080.0,3080.0,30046500
2024-01-10,3250.0,3290.0,3180.0,3180.0,20964900
2024-01-11,3390.0,3450.0,3280.0,3280.0,31898700
2024-01-12,3400.0,3450.0,3190.0,3400.0,31956100
2024-01-15,3440.0,3480.0,3340.0,3400.0,21912700
2024-01-16,3460.0,3480.0,3410.0,3480.0,9684700
2024-01-17,3370.0,3460.0,3310.0,3460.0,23227200
2024-01-18,3380.0,3440.0,3340.0,3370.0,13257600
2024-01-19,3500.0,3570.0,3370.0,3390.0,28018100
2024-01-22,3650.0,3700.0,3520.0,3540.0,29451700
2024-01-23,3570.0,3690.0,3550.0,3650.0,13770800
2024-01-24,3530.0,3650.0,3520.0,3580.0,13975700
2024-01-25,3560.0,3660.0,3480.0,3490.0,14068200
2024-01-26,3400.0,3580.0,3340.0,3560.0,19987600
2024-01-29,3140.0,3450.0,3090.0,3400.0,25247300
2024-01-30,3230.0,3260.0,3140.0,3150.0,22633200
2024-01-31,3210.0,3260.0,3140.0,3230.0,15558700
2024-02-01,3170.0,3330.0,3150.0,3220.0,17202400
2024-02-02,3070.0,3210.0,3060.0,3190.0,16041500
2024-02-05,3050.0,3110.0,3010.0,3090.0,8592600
2024-02-06,3040.0,3140.0,3030.0,3070.0,10601800
2024-02-07,3050.0,3130.0,3050.0,3060.0,7945600
2024-02-12,3150.0,3160.0,3090.0,3110.0,15859200
2024-02-13,3100.0,3170.0,3080.0,3150.0,10692400
2024-02-15,3110.0,3150.0,3090.0,3120.0,10640000
2024-02-16,2960.0,3130.0,2940.0,3110.0,22010000
2024-02-19,2740.0,2950.0,2680.0,2950.0,44756300
2024-02-20,2690.0,2810.0,2680.0,2750.0,17095300
2024-02-21,2600.0,2730.0,2520.0,2700.0,28381600
2024-02-22,2590.0,2670.0,2520.0,2610.0,15150400
2024-02-23,2540.0,2630.0,2530.0,2600.0,12993400
2024-02-26,2550.0,2570.0,2500.0,2550.0,7430700
2024-02-27,2550.0,2620.0,2520.0,2560.0,13036900
2024-02-28,2530.0,2590.0,2510.0,2570.0,9286000
2024-02-29,2710.0,2710.0,2520.0,2530.0,21178900
2024-03-01,2690.0,2730.0,2650.0,2660.0,12217200
2024-03-04,2620.0,2720.0,2580.0,2690.0,6909900
2024-03-05,2670.0,2740.0,2630.0,2630.0,9388200
2024-03-06,2910.0,2930.0,2690.0,2690.0,37337000
2024-03-07,2850.0,2930.0,2800.0,2920.0,16478700
2024-03-08,2780.0,2920.0,2760.0,2850.0,13611900
2024-03-13,2710.0,2820.0,2700.0,2780.0,9456300
2024-03-14,2740.0,2840.0,2710.0,2720.0,13297400
2024-03-15,2700.0,2790.0,2700.0,2760.0,6223200
2024-03-18,2720.0,2790.0,2650.0,2710.0,10861000
2024-03-19,2670.0,2750.0,2660.0,2740.0,10696000
2024-03-20,2570.0,2680.0,2560.0,2670.0,13349200
2024-03-21,2680.0,2700.0,2600.0,2600.0,8909400
2024-03-22,2700.0,2780.0,2680.0,2700.0,14766100
2024-03-25,2780.0,2790.0,2700.0,2790.0,9741800
2024-03-26,2800.0,2840.0,2760.0,2840.0,15445800
2024-03-27,2730.0,2830.0,2730.0,2810.0,6112600
2024-03-28,2670.0,2750.0,2660.0,2740.0,4323800
2024-04-01,2590.0,2670.0,2570.0,2670.0,5671700
2024-04-02,2670.0,2670.0,2540.0,2610.0,6794600
2024-04-03,2630.0,2680.0,2610.0,2660.0,1809700
2024-04-04,2580.0,2640.0,2570.0,2630.0,8141300
2024-04-05,2530.0,2590.0,2520.0,2570.0,11924000
2024-04-16,2300.0,2380.0,2210.0,2370.0,16088900
2024-04-17,2120.0,2350.0,2110.0,2310.0,19114600
2024-04-18,2160.0,2220.0,2120.0,2120.0,17760800
2024-04-19,2130.0,2190.0,2080.0,2120.0,12090800
2024-04-22,2180.0,2200.0,2110.0,2140.0,5994700
2024-04-23,2190.0,2240.0,2150.0,2180.0,7987300
2024-04-24,2170.0,2270.0,2150.0,2210.0,10704200
2024-04-25,2140.0,2180.0,2080.0,2170.0,12289300
2024-04-26,2040.0,2150.0,2040.0,2150.0,6449100
2024-04-29,2100.0,2160.0,2040.0,2070.0,11509100
2024-04-30,2150.0,2180.0,2110.0,2120.0,5716700
2024-05-02,2060.0,2180.0,2040.0,2180.0,8896800
2024-05-03,2110.0,2150.0,2060.0,2090.0,7934300
2024-05-06,2220.0,2240.0,2140.0,2140.0,11493700
2024-05-07,2260.0,2270.0,2210.0,2240.0,8810700
2024-05-08,2240.0,2300.0,2230.0,2270.0,9594100
2024-05-13,2250.0,2280.0,2230.0,2240.0,5775600
2024-05-14,2310.0,2350.0,2250.0,2260.0,11311800
2024-05-15,2280.0,2340.0,2270.0,2320.0,9736100
2024-05-16,2280.0,2340.0,2270.0,2330.0,11269000
2024-05-17,2290.0,2310.0,2240.0,2280.0,8128500
2024-05-20,2400.0,2440.0,2260.0,2290.0,14882200
2024-05-21,2350.0,2470.0,2320.0,2410.0,14097400
2024-05-22,2390.0,2430.0,2340.0,2370.0,20299300
2024-05-27,2400.0,2460.0,2390.0,2400.0,16115000
2024-05-28,2390.0,2410.0,2310.0,2400.0,11555000
2024-05-29,2280.0,2400.0,2270.0,2400.0,12552700
2024-05-30,2270.0,2300.0,2220.0,2280.0,9712100
2024-05-31,2410.0,2440.0,2270.0,2270.0,21149200
2024-06-03,2390.0,2430.0,2370.0,2420.0,9160700
2024-06-04,2310.0,2400.0,2270.0,2400.0,10523900
2024-06-05,2270.0,2310.0,2250.0,2310.0,8544400
2024-06-06,2300.0,2320.0,2260.0,2280.0,5950000
2024-06-07,2330.0,2370.0,2300.0,2310.0,7328000
2024-06-10,2140.0,2350.0,2070.0,2340.0,20326800
2024-06-11,2140.0,2190.0,2120.0,2140.0,6742000
2024-06-12,2140.0,2160.0,2070.0,2150.0,7757500
2024-06-13,2140.0,2190.0,2090.0,2170.0,5433500
2024-06-14,2030.0,2150.0,2000.0,2140.0,5982000
2024-06-19,1900.0,2050.0,1900.0,2040.0,7488600
2024-06-20,1965.0,1965.0,1895.0,1900.0,4894800
2024-06-21,2100.0,2150.0,1965.0,1965.0,13093200
2024-06-24,2230.0,2280.0,2110.0,2110.0,18251700
2024-06-25,2140.0,2260.0,2120.0,2240.0,5774200
