date,close,high,low,open_price,volume
,GOTO.JK,GOTO.JK,GOTO.JK,GOTO.JK,GOTO.JK
2024-01-02,87.0,87.0,84.0,86.0,1033123000
2024-01-03,88.0,89.0,86.0,87.0,1522845800
2024-01-04,87.0,88.0,86.0,88.0,1260270300
2024-01-05,86.0,88.0,86.0,87.0,902294200
2024-01-08,86.0,87.0,85.0,86.0,1071109200
2024-01-09,88.0,90.0,86.0,86.0,2274055400
2024-01-10,87.0,88.0,86.0,87.0,1044012100
2024-01-11,91.0,92.0,87.0,87.0,4061289200
2024-01-12,91.0,92.0,88.0,91.0,2888649600
2024-01-15,91.0,91.0,91.0,91.0,0
2024-01-16,90.0,92.0,90.0,92.0,1673821700
2024-01-17,87.0,90.0,83.0,90.0,8685343600
2024-01-18,87.0,88.0,86.0,87.0,2358522500
2024-01-19,86.0,89.0,86.0,88.0,1688760800
2024-01-22,87.0,87.0,85.0,87.0,1280204300
2024-01-23,85.0,87.0,85.0,87.0,1205633700
2024-01-24,84.0,86.0,83.0,85.0,1836423500
2024-01-25,84.0,86.0,83.0,84.0,2211926800
2024-01-26,82.0,85.0,81.0,84.0,2392268900
2024-01-29,78.0,83.0,76.0,82.0,6171480200
2024-01-30,87.0,88.0,78.0,78.0,6031069200
2024-01-31,88.0,90.0,84.0,87.0,4262985100
2024-02-01,90.0,92.0,89.0,91.0,5426951900
2024-02-02,90.0,91.0,87.0,90.0,1905803800
2024-02-05,84.0,91.0,84.0,90.0,3604246900
2024-02-06,84.0,85.0,82.0,84.0,3995533800
2024-02-07,84.0,85.0,82.0,84.0,1405159400
2024-02-12,86.0,90.0,85.0,86.0,5204585300
2024-02-13,86.0,87.0,84.0,86.0,1682117100
2024-02-15,85.0,89.0,84.0,88.0,3065918100
2024-02-16,83.0,85.0,82.0,85.0,2159032500
2024-02-19,84.0,85.0,82.0,84.0,3548941500
2024-02-20,83.0,84.0,82.0,84.0,1983019100
2024-02-21,80.0,83.0,79.0,82.0,3151288700
2024-02-22,79.0,81.0,79.0,80.0,1520811700
2024-02-23,79.0,80.0,77.0,79.0,2076412600
2024-02-26,78.0,79.0,78.0,79.0,1035227600
2024-02-27,80.0,81.0,76.0,78.0,4767376600
