date,close,high,low,open_price,volume
,INCO.JK,INCO.JK,INCO.JK,INCO.JK,INCO.JK
2024-01-02,4420.0,4450.0,4310.0,4320.0,9046500
2024-01-03,4420.0,4460.0,4370.0,4410.0,6676200
2024-01-04,4390.0,4450.0,4340.0,4420.0,7742300
2024-01-05,4310.0,4400.0,4290.0,4390.0,8403900
2024-01-08,4280.0,4350.0,4280.0,4320.0,5070300
2024-01-09,4150.0,4290.0,4140.0,4290.0,18665100
2024-01-10,4160.0,4230.0,4150.0,4150.0,6540600
2024-01-11,4100.0,4180.0,4100.0,4160.0,12329800
2024-01-12,4180.0,4190.0,4110.0,4120.0,5067000
2024-01-15,4150.0,4210.0,4140.0,4180.0,7718100
2024-01-16,4150.0,4180.0,4140.0,4150.0,7404100
2024-01-17,4100.0,4180.0,4090.0,4150.0,9666500
2024-01-18,4130.0,4150.0,4110.0,4110.0,5131000
2024-01-19,4080.0,4190.0,4080.0,4150.0,11790700
2024-01-22,4040.0,4100.0,4030.0,4090.0,9137800
2024-01-23,3940.0,4090.0,3910.0,4040.0,21167600
2024-01-24,4050.0,4070.0,3920.0,3990.0,13292300
2024-01-25,4110.0,4170.0,4030.0,4080.0,14699300
2024-01-26,3980.0,4120.0,3980.0,4110.0,6330900
2024-01-29,3860.0,4000.0,3830.0,3980.0,13943200
2024-01-30,3890.0,3940.0,3810.0,3880.0,7115400
2024-01-31,3870.0,4000.0,3870.0,3900.0,5769900
2024-02-01,3930.0,3960.0,3870.0,3870.0,7200800
2024-02-02,3890.0,3940.0,3840.0,3920.0,9044600
2024-02-05,3830.0,3920.0,3830.0,3890.0,5666800
2024-02-06,3670.0,3840.0,3670.0,3820.0,44062900
2024-02-07,3660.0,3730.0,3620.0,3690.0,21700300
2024-02-12,4060.0,4160.0,3730.0,3740.0,59857400
2024-02-13,4050.0,4180.0,4040.0,4110.0,32913100
2024-02-15,4000.0,4230.0,3990.0,4120.0,32104800
2024-02-16,3690.0,4000.0,3650.0,3950.0,52632700
2024-02-19,3850.0,3890.0,3610.0,3640.0,38627600
2024-02-20,3780.0,3920.0,3760.0,3860.0,20154600
2024-02-21,3700.0,3780.0,3680.0,3780.0,17206100
2024-02-22,3890.0,3920.0,3750.0,3750.0,25722300
2024-02-23,3950.0,4030.0,3940.0,3970.0,22813800
