date,close,high,low,open_price,volume
,ITMG.JK,ITMG.JK,ITMG.JK,ITMG.JK,ITMG.JK
2024-01-02,21445.025390625,21485.679467194903,20774.233127221563,20814.88720379147,1695100
2024-01-03,20936.849609375,21384.044455400486,20875.86849400789,21384.044455400486,1593300
2024-01-04,21627.96875,21790.585056390977,21038.484639332706,21038.484639332706,2019700
2024-01-05,21770.259765625,21831.240885416664,21648.297526041664,21668.624565972223,1109500
2024-01-08,22034.509765625,22278.434227975093,21810.912341804084,21810.912341804084,1179200
2024-01-09,21932.875,22176.799467099165,21668.6234939759,22034.51019462465,1040300
2024-01-10,21932.875,22278.43466172382,21912.54796107507,21993.85611677479,920000
2024-01-11,21790.583984375,21993.854357363572,21749.929909777286,21953.200282765858,470400
2024-01-12,21912.546875,22075.163178339517,21790.58464749536,21790.58464749536,680500
2024-01-15,22319.0859375,22359.7400102459,22075.161501024588,22075.161501024588,2054500
2024-01-16,22278.43359375,22359.741745552008,22034.50913834398,22339.414707601507,779000
2024-01-17,22278.43359375,22623.99323890853,22278.43359375,22319.087669651002,1150300
2024-01-18,22034.509765625,22319.08830503344,21973.52865003748,22298.761266504265,908900
2024-01-19,21790.583984375,22156.47065575443,21648.294723282997,22075.162506559,1435600
2024-01-22,21343.390625,21871.89363095238,21201.101354166665,21790.585476190477,1127700
2024-01-23,21058.810546875,21445.024253815758,20977.502398045366,21323.06203057131,1207800
2024-01-24,20957.177734375,21343.39148505698,20814.888457807952,21079.13997143247,1111800
2024-01-25,21566.98828125,21709.27755360509,20957.177114013903,20957.177114013903,1247900
2024-01-26,21709.27734375,21810.912537306882,21343.390646945227,21566.988072770368,864100
2024-01-29,21790.583984375,21831.238058972714,21648.294723282997,21770.25694707614,784900
2024-01-30,21587.314453125,21831.23891022246,21445.025186484818,21729.603719765182,569200
2024-01-31,21993.85546875,22115.8176987061,21749.9310088378,21749.9310088378,837800
2024-02-01,21648.294921875,22014.181596610917,21587.313809419014,21993.854559125586,1201700
2024-02-02,21323.0625,21770.25732840801,21302.735462345092,21648.29510247855,1271200
2024-02-05,21302.736328125,21566.98782837846,21302.736328125,21363.717443568108,717600
2024-02-06,21668.62109375,21688.948130423312,21343.388506977015,21465.350727016885,815500
