date,close,high,low,open_price,volume
,JPFA.JK,JPFA.JK,JPFA.JK,JPFA.JK,JPFA.JK
2024-01-02,1077.8548583984375,1096.2797277727698,1073.2486410548545,1087.0672930856035,7949700
2024-01-03,1068.6424560546875,1087.0673259866649,1068.6424560546875,1082.4611085036704,7695000
2024-01-04,1041.0050048828125,1077.8547395689297,1041.0050048828125,1073.2485227331651,26923300
2024-01-05,1045.611328125,1064.0361973430618,1041.0051108204846,1045.611328125,19685500
2024-01-08,1050.217529296875,1064.0361809981496,1045.6113120631167,1050.217529296875,16951400
2024-01-09,1036.39892578125,1059.4300130208333,1027.1864908854168,1054.8237955729167,10893800
2024-01-10,1031.7926025390625,1050.2174704415459,1027.1863855634417,1031.7926025390625,7543300
2024-01-11,1022.5802001953125,1045.611285785297,1017.9739830773156,1031.7926344313062,13093700
2024-01-12,1013.3677978515625,1031.792666903409,1004.1553633256392,1022.5802323774858,18043800
2024-01-15,1027.1865234375,1036.3989586252803,1013.3678706558296,1013.3678706558296,14083500
2024-01-16,1041.0050048828125,1050.217438554342,1022.5801375397539,1022.5801375397539,7163600
2024-01-17,1031.7926025390625,1050.2174704415459,1017.9739516122,1045.611253465925,9395400
2024-01-18,1022.5802001953125,1041.0050686673,1017.9739830773156,1031.7926344313062,9103300
2024-01-19,1036.39892578125,1041.0051432291666,1017.9740559895833,1022.5802734375001,7269400
2024-01-22,1008.7615356445312,1041.0050550486944,1008.7615356445312,1041.0050550486944,8465400
2024-01-23,994.9429931640625,1013.3678634078414,976.5181229202835,1013.3678634078414,13948400
2024-01-24,981.124267578125,999.5491364528316,971.9118331407717,994.9429192341549,7349100
2024-01-25,994.9429931640625,999.5492107250072,976.5181229202835,985.730558042173,6209600
2024-01-26,990.336669921875,999.5491040606831,976.5180187136629,994.9428869912791,3113500
2024-01-29,981.124267578125,999.5491364528316,971.9118331407717,990.3367020154783,3904700
2024-01-30,976.51806640625,990.3367182893573,971.9118491118809,985.7305009949882,5415100
2024-01-31,976.51806640625,990.3367182893573,976.51806640625,976.51806640625,6662300
2024-02-01,981.124267578125,990.3367020154783,976.5180503594484,981.124267578125,3490100
2024-02-02,1013.3677978515625,1017.9740151145241,976.5180597478693,985.7304942737926,15659800
2024-02-05,1031.7926025390625,1050.2174704415459,1013.3677346365793,1050.2174704415459,16373600
2024-02-06,1041.0050048828125,1045.611221718577,1017.9739207039893,1031.7925712112833,5361400
2024-02-07,1004.1553955078125,1050.2175696136753,1004.1553955078125,1045.6113522030892,11261000
2024-02-12,999.5491333007812,1013.3677849132345,985.730481688328,1004.1553505049324,10122400
2024-02-13,990.336669921875,1013.3677552688954,990.336669921875,999.5491040606831,9289000
2024-02-15,1008.7615356445312,1027.1864038754816,990.3366674135809,990.3366674135809,20366200
2024-02-16,994.9429931640625,1017.9740809687861,994.9429931640625,1013.3678634078414,12974200
2024-02-19,994.9429931640625,1008.7616458468967,990.3367756031178,999.5492107250072,4613400
2024-02-20,1004.1553955078125,1013.3678303289851,994.9429606866399,994.9429606866399,5391700
2024-02-21,999.5491333007812,1008.7615677090834,994.9429160966301,1004.1553505049324,8725900
2024-02-22,1013.3677978515625,1017.9740151145241,994.9429287997159,999.5491460626776,8154500
2024-02-23,1017.9740600585938,1017.9740600585938,1008.7616251259367,1017.9740600585938,6033000
2024-02-26,1059.429931640625,1068.6423658288045,1017.973977793818,1027.1864119819973,48994100
2024-02-27,1068.6424560546875,1077.8548910206762,1050.2175861227101,1059.4300210886988,30335700
2024-02-28,1068.6424560546875,1077.8548910206762,1054.8238036057044,1068.6424560546875,13445300
2024-02-29,1059.429931640625,1077.8548000169837,1050.2174974524457,1073.248582922894,18672700
2024-03-01,1077.8548583984375,1091.6735104291868,1041.005119649773,1059.4299890241052,41510900
2024-03-04,1096.2796630859375,1105.4920972295167,1059.4299265116204,1082.4610118705684,25551600
2024-03-05,1073.24853515625,1105.4920533798283,1059.4298844890022,1105.4920533798283,17527900
2024-03-06,1064.0361328125,1082.4610009131493,1050.217481737013,1073.2485668628246,12616500
2024-03-07,1105.4921875,1114.7046223958334,1059.4300130208333,1059.4300130208333,53793000
2024-03-08,1119.310791015625,1151.5543117444702,1082.461053039802,1105.4921392746915,57454300
2024-03-13,1105.4921875,1133.1294921875,1096.2797526041668,1119.31083984375,18980700
2024-03-14,1105.4921875,1119.31083984375,1105.4921875,1110.0984049479166,8748600
2024-03-15,1105.4921875,1123.9170572916667,1105.4921875,1123.9170572916667,22876500
2024-03-18,1105.4921875,1119.31083984375,1096.2797526041668,1110.0984049479166,9846300
2024-03-19,1156.1605224609375,1156.1605224609375,1105.4921330303785,1105.4921330303785,38949900
2024-03-20,1123.9169921875,1156.1605124551743,1110.098340644211,1156.1605124551743,23080500
2024-03-21,1133.12939453125,1146.9480456840702,1123.91696042937,1133.12939453125,18496400
2024-03-22,1110.098388671875,1146.9481277149248,1110.098388671875,1146.9481277149248,7804600
2024-03-25,1096.2796630859375,1119.3107484448858,1073.2485777269892,1119.3107484448858,27657900
2024-03-26,1073.24853515625,1096.2796196016632,1059.4298844890022,1096.2796196016632,17317200
2024-03-27,1068.6424560546875,1077.8548910206762,1059.4300210886988,1073.2486735376817,12290000
2024-03-28,1096.2796630859375,1096.2796630859375,1064.03614358341,1068.6423606551996,11975600
2024-04-01,1091.6734619140625,1100.8858961918183,1054.8237248030393,1096.2796790529405,13823400
2024-04-02,1114.70458984375,1119.310807157154,1073.2486340231146,1073.2486340231146,21941100
2024-04-03,1105.4921875,1133.1294921875,1091.67353515625,1119.31083984375,11123800
2024-04-04,1146.9481201171875,1151.5543374670558,1096.279729268637,1105.4921639683735,33566100
2024-04-05,1133.12939453125,1169.9791309387704,1119.3107433784298,1146.9480456840702,12044800
