date,close,high,low,open_price,volume
,MDKA.JK,MDKA.JK,MDKA.JK,MDKA.JK,MDKA.JK
2024-01-02,2690.0,2720.0,2630.0,2700.0,23431900
2024-01-03,2670.0,2730.0,2620.0,2680.0,22308700
2024-01-04,2710.0,2730.0,2630.0,2670.0,24355600
2024-01-05,2810.0,2880.0,2700.0,2710.0,79652300
2024-01-08,2710.0,2910.0,2670.0,2830.0,90756900
2024-01-09,2510.0,2720.0,2510.0,2720.0,87291100
2024-01-10,2470.0,2560.0,2430.0,2510.0,43054900
2024-01-11,2430.0,2510.0,2430.0,2480.0,28312500
2024-01-12,2460.0,2460.0,2400.0,2430.0,25971700
2024-01-15,2430.0,2490.0,2420.0,2480.0,27943400
2024-01-16,2410.0,2460.0,2330.0,2430.0,54594500
2024-01-17,2530.0,2580.0,2400.0,2400.0,96484200
2024-01-18,2670.0,2710.0,2540.0,2540.0,97309500
2024-01-19,2700.0,2780.0,2680.0,2680.0,62972300
2024-01-22,2650.0,2750.0,2610.0,2720.0,31612900
2024-01-23,2630.0,2720.0,2570.0,2650.0,36898900
2024-01-24,2710.0,2770.0,2650.0,2650.0,55402900
2024-01-25,2760.0,2800.0,2700.0,2740.0,44847200
2024-01-26,2700.0,2770.0,2690.0,2760.0,21735100
2024-01-29,2800.0,2800.0,2700.0,2700.0,28891200
2024-01-30,2740.0,2830.0,2720.0,2800.0,32958900
2024-01-31,2700.0,2760.0,2700.0,2740.0,29670100
2024-02-01,2520.0,2700.0,2440.0,2700.0,118056500
2024-02-02,2550.0,2590.0,2460.0,2520.0,46159200
2024-02-05,2480.0,2560.0,2470.0,2550.0,23780400
2024-02-06,2460.0,2550.0,2450.0,2490.0,37098400
2024-02-07,2410.0,2500.0,2410.0,2470.0,35350700
2024-02-12,2440.0,2460.0,2370.0,2430.0,38548700
2024-02-13,2410.0,2460.0,2390.0,2440.0,38765000
2024-02-15,2440.0,2530.0,2430.0,2500.0,70982600
2024-02-16,2400.0,2460.0,2400.0,2450.0,34195200
2024-02-19,2330.0,2370.0,2280.0,2370.0,58664300
2024-02-20,2420.0,2440.0,2280.0,2330.0,69511700
2024-02-21,2360.0,2430.0,2350.0,2420.0,30451200
2024-02-22,2410.0,2490.0,2360.0,2410.0,50388800
2024-02-23,2360.0,2440.0,2350.0,2430.0,28635200
2024-02-26,2300.0,2380.0,2300.0,2380.0,23521600
2024-02-27,2300.0,2310.0,2290.0,2310.0,27720500
2024-02-28,2290.0,2330.0,2280.0,2320.0,21683400
2024-02-29,2260.0,2300.0,2250.0,2290.0,89118000
2024-03-01,2240.0,2280.0,2230.0,2230.0,32782200
2024-03-04,2280.0,2330.0,2260.0,2280.0,35564000
2024-03-05,2250.0,2340.0,2240.0,2330.0,31066400
2024-03-06,2260.0,2280.0,2230.0,2270.0,33532200
2024-03-07,2320.0,2360.0,2280.0,2290.0,52804700
2024-03-08,2370.0,2430.0,2290.0,2350.0,63627600
2024-03-13,2410.0,2450.0,2340.0,2410.0,50406600
2024-03-14,2380.0,2430.0,2340.0,2430.0,50964900
2024-03-15,2290.0,2370.0,2250.0,2350.0,96950500
2024-03-18,2280.0,2310.0,2260.0,2290.0,52827300
2024-03-19,2250.0,2280.0,2220.0,2270.0,57821000
2024-03-20,2260.0,2320.0,2250.0,2260.0,34384000
2024-03-21,2400.0,2420.0,2290.0,2320.0,144151400
2024-03-22,2320.0,2400.0,2310.0,2400.0,36419700
2024-03-25,2340.0,2350.0,2280.0,2350.0,44260000
2024-03-26,2290.0,2350.0,2280.0,2350.0,29929400
2024-03-27,2270.0,2310.0,2270.0,2300.0,33427100
2024-03-28,2280.0,2300.0,2240.0,2260.0,50738500
2024-04-01,2290.0,2370.0,2290.0,2320.0,45950400
2024-04-02,2350.0,2370.0,2290.0,2300.0,45440800
2024-04-03,2390.0,2410.0,2350.0,2370.0,55340500
2024-04-04,2680.0,2720.0,2410.0,2420.0,172946200
2024-04-05,2620.0,2730.0,2600.0,2670.0,63192600
2024-04-16,2880.0,2890.0,2690.0,2720.0,133170200
